"","seqnames","start","end","width","strand","n","tx_names"
"108","chr1",2017228,2018973,1746,"-",2,c("g469.t1", "g470.t1")
"109","chr1",2033655,2040438,6784,"+",4,c("g477.t1", "g477.t2", "g478.t1", "g479.t1")
"110","chr1",2040498,2042082,1585,"-",2,c("g480.t1", "g481.t1")
"111","chr1",2042822,2044064,1243,"-",2,c("g482.t1", "g483.t1")
"112","chr1",2046960,2075274,28315,"-",4,c("g485.t1", "g486.t1", "g487.t1", "g488.t1")
"113","chr1",2084794,2092291,7498,"-",3,c("g491.t1", "g492.t1", "g493.t1")
"114","chr1",2099737,2101849,2113,"-",2,c("g497.t1", "g497.t2")
"115","chr1",2106897,2117154,10258,"+",4,c("g498.t1", "g499.t2", "g499.t1", "g501.t1")
"116","chr1",2117401,2121393,3993,"+",4,c("g499.t1", "g501.t1", "g502.t1", "g502.t2")
"117","chr1",2128111,2131673,3563,"+",3,c("g504.t1", "g505.t1", "g506.t1")
"118","chr1",2141652,2148631,6980,"-",3,c("g509.t1", "g510.t1", "g511.t1")
"119","chr1",2176123,2187690,11568,"-",5,c("g521.t1", "g522.t1", "g523.t1", "g524.t1", "g525.t1")
"120","chr1",2192196,2196630,4435,"+",2,c("g527.t1", "g528.t1")
"121","chr1",2198728,2202128,3401,"-",3,c("g529.t1", "g530.t1", "g531.t1")
"122","chr1",2206635,2209523,2889,"+",2,c("g533.t1", "g534.t1")
"123","chr1",2222428,2224732,2305,"+",2,c("g540.t1", "g541.t1")
"124","chr1",2259800,2268507,8708,"-",2,c("g546.t1", "g547.t1")
"125","chr1",2283335,2287944,4610,"+",2,c("g553.t1", "g554.t1")
"126","chr1",2297987,2301173,3187,"-",2,c("g557.t1", "g558.t1")
"127","chr1",2301556,2305495,3940,"+",2,c("g559.t1", "g560.t1")
"128","chr1",2314039,2327057,13019,"-",3,c("g562.t1", "g563.t1", "g564.t1")
"129","chr1",2339892,2347227,7336,"-",3,c("g568.t1", "g569.t1", "g569.t2")
"130","chr1",2371394,2373574,2181,"-",2,c("g574.t1", "g575.t1")
"131","chr1",2374076,2377746,3671,"-",4,c("g576.t1", "g577.t1", "g578.t1", "g579.t1")
"132","chr1",2378073,2383486,5414,"+",2,c("g580.t1", "g581.t1")
"133","chr1",2390142,2400587,10446,"-",4,c("g583.t1", "g584.t1", "g585.t1", "g586.t1")
"134","chr1",2450101,2454535,4435,"-",3,c("g591.t1", "g592.t1", "g593.t1")
"135","chr1",2474935,2479135,4201,"-",3,c("g601.t1", "g602.t1", "g603.t1")
"136","chr1",2509334,2514234,4901,"-",2,c("g610.t1", "g611.t1")
"137","chr1",2562243,2566202,3960,"+",2,c("g619.t1", "g620.t1")
"138","chr1",2567609,2578855,11247,"+",2,c("g621.t1", "g622.t1")
"139","chr1",2579017,2582626,3610,"-",2,c("g623.t1", "g624.t1")
"140","chr1",2587544,2593316,5773,"+",3,c("g626.t1", "g627.t1", "g628.t1")
"141","chr1",2614190,2615985,1796,"-",2,c("g636.t1", "g637.t1")
"142","chr1",2617399,2626445,9047,"+",3,c("g639.t1", "g640.t1", "g641.t1")
"143","chr1",2627428,2628726,1299,"+",2,c("g642.t1", "g643.t1")
"144","chr1",2646297,2661473,15177,"+",2,c("g650.t1", "g650.t2")
"145","chr1",2663499,2664999,1501,"-",2,c("g651.t1", "g652.t1")
"146","chr1",2667692,2676061,8370,"+",4,c("g655.t1", "g655.t3", "g655.t2", "g656.t1")
"147","chr1",2699984,2703940,3957,"-",2,c("g662.t2", "g662.t1")
"148","chr1",2705947,2710272,4326,"+",2,c("g663.t1", "g664.t1")
"149","chr1",2712983,2716870,3888,"+",3,c("g666.t1", "g667.t1", "g667.t2")
"150","chr1",2718570,2724752,6183,"+",2,c("g668.t1", "g669.t1")
"151","chr1",2737917,2740772,2856,"+",2,c("g673.t1", "g673.t2")
"152","chr1",2745572,2763412,17841,"+",3,c("g675.t1", "g675.t2", "g676.t1")
"153","chr1",2815369,2822736,7368,"+",3,c("g694.t3", "g694.t1", "g694.t2")
"154","chr1",2825347,2829864,4518,"+",5,c("g695.t1", "g696.t1", "g697.t1", "g698.t1", "g699.t1")
"155","chr1",2862691,2864502,1812,"-",2,c("g714.t1", "g715.t1")
"156","chr1",2885908,2892042,6135,"+",2,c("g721.t1", "g722.t1")
"157","chr1",2894608,2898115,3508,"+",3,c("g724.t1", "g725.t1", "g726.t1")
"158","chr1",2906279,2910085,3807,"+",2,c("g730.t1", "g731.t1")
"159","chr1",2918234,2920696,2463,"+",2,c("g735.t1", "g736.t1")
"160","chr1",2936928,2939818,2891,"+",3,c("g741.t1", "g741.t2", "g742.t1")
"161","chr1",2940286,2942981,2696,"-",2,c("g743.t1", "g744.t1")
"162","chr1",2943204,2950698,7495,"+",5,c("g745.t1", "g746.t1", "g747.t1", "g747.t2", "g748.t1")
"163","chr1",2971835,2977662,5828,"-",2,c("g758.t2", "g758.t1")
"164","chr1",2980384,2984440,4057,"+",2,c("g760.t1", "g761.t1")
"165","chr1",2991091,2993199,2109,"-",2,c("g763.t1", "g763.t2")
"166","chr1",2994763,3001143,6381,"-",3,c("g764.t2", "g764.t1", "g764.t3")
"167","chr1",2996848,3001143,4296,"-",2,c("g764.t1", "g764.t3")
"168","chr1",3004015,3011544,7530,"-",4,c("g766.t1", "g767.t1", "g768.t1", "g770.t1")
"169","chr1",3011669,3020666,8998,"-",3,c("g768.t1", "g770.t1", "g771.t1")
"170","chr1",3021218,3026295,5078,"-",3,c("g772.t1", "g773.t1", "g774.t1")
"171","chr1",3028855,3038207,9353,"-",5,c("g776.t1", "g777.t4", "g777.t3", "g777.t2", "g777.t1")
"172","chr1",3034324,3038207,3884,"-",3,c("g777.t3", "g777.t2", "g777.t1")
"173","chr1",3045545,3049888,4344,"-",3,c("g780.t1", "g780.t2", "g781.t1")
"174","chr1",3054055,3058817,4763,"-",2,c("g784.t1", "g785.t1")
"175","chr1",3087501,3088978,1478,"-",2,c("g793.t2", "g793.t1")
"176","chr1",3089988,3095234,5247,"-",4,c("g794.t1", "g794.t2", "g795.t1", "g796.t1")
"177","chr1",3102234,3108332,6099,"+",2,c("g800.t1", "g801.t1")
"178","chr1",3108429,3110605,2177,"-",2,c("g802.t1", "g803.t1")
"179","chr1",3125336,3131498,6163,"-",3,c("g805.t1", "g806.t1", "g807.t1")
"180","chr1",3143331,3152075,8745,"-",5,c("g810.t2", "g810.t1", "g810.t3", "g810.t4", "g811.t1")
"181","chr1",3159777,3164852,5076,"-",4,c("g815.t1", "g816.t1", "g817.t1", "g818.t1")
"182","chr1",3294053,3298120,4068,"+",2,c("g853.t1", "g854.t1")
"183","chr1",3298467,3302594,4128,"-",2,c("g855.t1", "g856.t1")
"184","chr1",3306319,3310473,4155,"-",2,c("g859.t1", "g860.t1")
"185","chr1",3311187,3314215,3029,"-",3,c("g861.t1", "g862.t1", "g863.t1")
"186","chr1",3314597,3318139,3543,"+",2,c("g864.t1", "g865.t1")
"187","chr1",3318294,3322780,4487,"-",2,c("g866.t1", "g867.t1")
"188","chr1",3330037,3333888,3852,"+",2,c("g869.t1", "g870.t1")
"189","chr1",3339416,3343257,3842,"-",2,c("g873.t1", "g874.t1")
"190","chr1",3354464,3360930,6467,"+",4,c("g878.t1", "g879.t1", "g880.t1", "g881.t1")
"191","chr1",3417430,3418991,1562,"-",2,c("g889.t1", "g890.t1")
"192","chr1",3433005,3435787,2783,"-",2,c("g894.t1", "g894.t2")
"193","chr1",3462595,3465902,3308,"-",2,c("g903.t1", "g903.t2")
"194","chr1",3492569,3498160,5592,"+",5,c("g910.t1", "g911.t1", "g912.t1", "g912.t2", "g913.t1")
"195","chr1",3498692,3505702,7011,"+",2,c("g914.t1", "g915.t1")
"196","chr1",3518320,3528523,10204,"+",5,c("g920.t1", "g920.t2", "g921.t1", "g922.t1", "g923.t1")
"197","chr1",3530797,3534931,4135,"+",3,c("g924.t1", "g925.t1", "g926.t1")
"198","chr1",3539888,3547612,7725,"-",2,c("g927.t1", "g928.t1")
"199","chr1",3572732,3574471,1740,"+",2,c("g932.t1", "g933.t1")
"200","chr1",3576502,3583047,6546,"-",2,c("g934.t1", "g935.t1")
"201","chr1",3586064,3587217,1154,"-",2,c("g937.t1", "g938.t1")
"202","chr1",3587844,3589164,1321,"+",2,c("g939.t1", "g940.t1")
"203","chr1",3589789,3597334,7546,"-",3,c("g941.t1", "g942.t1", "g943.t1")
"204","chr1",3611586,3621014,9429,"-",2,c("g948.t1", "g949.t1")
"205","chr1",3670727,3677821,7095,"+",4,c("g957.t1", "g958.t1", "g959.t1", "g960.t1")
"206","chr1",3688455,3691235,2781,"-",2,c("g963.t1", "g964.t1")
"207","chr1",3714034,3717662,3629,"-",3,c("g969.t1", "g970.t1", "g971.t1")
"208","chr1",3747894,3754097,6204,"-",3,c("g977.t1", "g978.t1", "g979.t1")
"209","chr1",3770109,3784744,14636,"+",4,c("g983.t1", "g984.t1", "g985.t1", "g985.t2")
"210","chr1",3798855,3805396,6542,"+",2,c("g992.t1", "g993.t1")
"211","chr1",3805536,3807781,2246,"-",2,c("g994.t1", "g995.t1")
"212","chr1",3810840,3814708,3869,"+",2,c("g997.t1", "g998.t1")
"213","chr1",3815435,3817997,2563,"-",2,c("g999.t2", "g999.t1")
"214","chr1",3818574,3825473,6900,"-",2,c("g1000.t1", "g1001.t1")
"215","chr1",3841588,3843440,1853,"+",2,c("g1007.t1", "g1007.t2")
"216","chr1",3843872,3849292,5421,"-",3,c("g1008.t2", "g1008.t1", "g1009.t1")
"217","chr1",3853686,3862402,8717,"+",2,c("g1011.t1", "g1012.t1")
"218","chr1",3862465,3867193,4729,"-",2,c("g1013.t1", "g1014.t1")
"219","chr1",3884799,3889770,4972,"-",3,c("g1019.t1", "g1020.t1", "g1021.t1")
"220","chr1",3904763,3907740,2978,"+",2,c("g1027.t1", "g1028.t1")
"221","chr1",3939898,3942556,2659,"+",2,c("g1037.t2", "g1037.t1")
"222","chr1",3945343,3954712,9370,"-",4,c("g1039.t1", "g1040.t1", "g1041.t1", "g1042.t1")
"223","chr1",3963285,3965235,1951,"-",2,c("g1043.t1", "g1043.t2")
"224","chr1",3989341,3991615,2275,"-",2,c("g1045.t1", "g1045.t2")
"225","chr1",3993148,3995413,2266,"-",2,c("g1046.t1", "g1047.t1")
"226","chr1",4044004,4047218,3215,"-",2,c("g1061.t1", "g1062.t1")
"227","chr1",4057480,4065605,8126,"-",5,c("g1067.t1", "g1068.t1", "g1069.t1", "g1070.t1", "g1071.t1")
"228","chr1",4089596,4092567,2972,"+",2,c("g1077.t1", "g1078.t1")
"229","chr1",4092733,4097843,5111,"-",3,c("g1079.t1", "g1080.t1", "g1081.t1")
"230","chr1",4113982,4117383,3402,"+",3,c("g1087.t1", "g1088.t1", "g1089.t1")
"231","chr1",4120014,4132045,12032,"+",6,c("g1091.t1", "g1092.t1", "g1093.t2", "g1093.t1", "g1094.t1", "g1095.t1")
"232","chr1",4132861,4138977,6117,"-",4,c("g1096.t3", "g1096.t2", "g1097.t1", "g1096.t1")
"233","chr1",4139714,4144360,4647,"+",2,c("g1098.t1", "g1099.t1")
"234","chr1",4161009,4165664,4656,"+",2,c("g1104.t1", "g1105.t1")
"235","chr1",4167979,4172176,4198,"+",2,c("g1107.t1", "g1108.t1")
"236","chr1",4178868,4189796,10929,"+",3,c("g1111.t1", "g1112.t1", "g1113.t1")
"237","chr1",4190268,4198402,8135,"-",2,c("g1114.t1", "g1115.t1")
"238","chr1",4199302,4200988,1687,"-",2,c("g1116.t1", "g1117.t1")
"239","chr1",4203117,4205268,2152,"-",2,c("g1119.t1", "g1120.t1")
"240","chr1",4217608,4219462,1855,"-",2,c("g1124.t1", "g1125.t1")
"241","chr1",4222672,4229527,6856,"+",3,c("g1126.t1", "g1126.t2", "g1126.t3")
"242","chr1",4231709,4240528,8820,"+",4,c("g1127.t1", "g1128.t1", "g1129.t1", "g1130.t1")
"243","chr1",4281694,4285767,4074,"-",3,c("g1136.t1", "g1136.t2", "g1137.t1")
"244","chr1",4288228,4291811,3584,"+",2,c("g1138.t2", "g1138.t1")
"245","chr1",4306266,4312328,6063,"-",3,c("g1141.t1", "g1141.t2", "g1142.t1")
"246","chr1",4325069,4329275,4207,"+",2,c("g1147.t1", "g1148.t1")
"247","chr1",4385883,4393312,7430,"+",4,c("g1160.t1", "g1160.t2", "g1161.t1", "g1162.t1")
"248","chr1",4400106,4418103,17998,"-",4,c("g1164.t1", "g1165.t1", "g1166.t1", "g1167.t1")
"249","chr1",4426307,4427977,1671,"-",2,c("g1170.t2", "g1170.t1")
"250","chr1",4430312,4431371,1060,"+",2,c("g1172.t1", "g1173.t1")
"251","chr1",4471936,4475548,3613,"-",2,c("g1185.t1", "g1186.t1")
"252","chr1",4544879,4549824,4946,"+",3,c("g1196.t1", "g1197.t1", "g1198.t1")
"253","chr1",4564398,4565251,854,"+",2,c("g1203.t1", "g1203.t2")
"254","chr1",4571907,4575265,3359,"+",2,c("g1205.t1", "g1206.t1")
"255","chr1",4577995,4580640,2646,"+",3,c("g1208.t1", "g1209.t1", "g1210.t1")
"256","chr1",4621968,4624318,2351,"+",2,c("g1220.t1", "g1221.t1")
"257","chr1",4637435,4639006,1572,"-",2,c("g1227.t1", "g1228.t1")
"258","chr1",4640325,4646317,5993,"-",2,c("g1230.t1", "g1231.t1")
"259","chr1",4646948,4648072,1125,"-",2,c("g1232.t1", "g1233.t1")
"260","chr1",4657332,4659020,1689,"-",2,c("g1237.t1", "g1238.t1")
"261","chr1",4687367,4689497,2131,"+",3,c("g1242.t1", "g1243.t1", "g1244.t1")
"262","chr1",4719304,4728151,8848,"+",4,c("g1252.t1", "g1253.t1", "g1254.t1", "g1255.t1")
"263","chr1",4744301,4748323,4023,"-",2,c("g1261.t1", "g1262.t1")
"264","chr1",4766993,4769051,2059,"+",2,c("g1268.t1", "g1269.t1")
"265","chr1",4778714,4780143,1430,"-",2,c("g1272.t2", "g1272.t1")
"266","chr1",4780328,4782965,2638,"+",2,c("g1273.t1", "g1274.t1")
"267","chr1",4805149,4809083,3935,"-",3,c("g1285.t1", "g1286.t1", "g1287.t1")
"268","chr1",4809391,4812496,3106,"+",2,c("g1288.t1", "g1289.t1")
"269","chr1",4841287,4846442,5156,"+",2,c("g1300.t1", "g1301.t1")
"270","chr1",4847037,4852059,5023,"-",3,c("g1302.t1", "g1303.t1", "g1304.t1")
"271","chr1",4853345,4856336,2992,"+",3,c("g1305.t1", "g1306.t1", "g1307.t1")
"272","chr1",4877363,4880676,3314,"+",2,c("g1310.t1", "g1311.t1")
"273","chr1",4887144,4895228,8085,"+",2,c("g1313.t1", "g1313.t2")
"274","chr1",4895619,4903929,8311,"-",2,c("g1314.t1", "g1315.t1")
"275","chr1",4904329,4913158,8830,"+",2,c("g1316.t1", "g1316.t2")
"276","chr1",4921807,4931550,9744,"+",2,c("g1319.t1", "g1320.t1")
"277","chr1",4963338,4974846,11509,"-",4,c("g1326.t1", "g1326.t2", "g1327.t1", "g1328.t1")
"278","chr1",4984761,4988799,4039,"-",2,c("g1331.t1", "g1332.t1")
"279","chr1",4989530,4991558,2029,"+",2,c("g1333.t1", "g1334.t1")
"280","chr1",5013436,5027424,13989,"+",6,c("g1341.t2", "g1341.t1", "g1342.t1", "g1343.t1", "g1344.t1", "g1345.t1")
"281","chr1",5042483,5043514,1032,"-",2,c("g1352.t1", "g1353.t1")
"282","chr1",5043770,5049475,5706,"+",2,c("g1354.t1", "g1355.t1")
"283","chr1",5063262,5066952,3691,"+",2,c("g1359.t1", "g1360.t1")
"284","chr1",5067454,5069900,2447,"-",2,c("g1361.t1", "g1362.t1")
"285","chr1",5099537,5101349,1813,"+",2,c("g1369.t2", "g1369.t1")
"286","chr1",5102499,5106101,3603,"+",3,c("g1370.t1", "g1371.t1", "g1372.t1")
"287","chr1",5122381,5129046,6666,"-",4,c("g1378.t1", "g1379.t1", "g1380.t1", "g1381.t1")
"288","chr1",5130246,5130986,741,"-",2,c("g1382.t1", "g1383.t1")
"289","chr1",5141133,5142097,965,"+",2,c("g1386.t1", "g1387.t1")
"290","chr1",5163677,5166732,3056,"-",2,c("g1389.t1", "g1390.t1")
"291","chr1",5198140,5218796,20657,"-",5,c("g1400.t1", "g1400.t2", "g1401.t1", "g1402.t1", "g1402.t2")
"292","chr1",5231186,5234453,3268,"+",2,c("g1405.t1", "g1406.t1")
"293","chr1",5235693,5242848,7156,"+",2,c("g1408.t1", "g1409.t1")
"294","chr1",5251796,5253112,1317,"-",2,c("g1410.t1", "g1411.t1")
"295","chr1",5281674,5304920,23247,"-",3,c("g1418.t1", "g1418.t2", "g1418.t3")
"296","chr1",5313478,5319747,6270,"-",2,c("g1422.t1", "g1423.t1")
"297","chr1",5324864,5345474,20611,"-",2,c("g1425.t1", "g1426.t1")
"298","chr1",5361657,5370672,9016,"+",5,c("g1430.t3", "g1430.t2", "g1430.t1", "g1431.t1", "g1431.t2")
"299","chr1",5377869,5390452,12584,"+",5,c("g1435.t1", "g1436.t1", "g1437.t1", "g1438.t1", "g1439.t1")
"300","chr1",5392117,5396751,4635,"-",2,c("g1440.t1", "g1441.t1")
"301","chr1",5401215,5405750,4536,"-",3,c("g1443.t1", "g1444.t1", "g1444.t2")
"302","chr1",5430412,5434104,3693,"+",2,c("g1449.t1", "g1449.t2")
"303","chr1",5438855,5446004,7150,"+",4,c("g1451.t1", "g1452.t1", "g1453.t1", "g1454.t1")
"304","chr1",5451998,5453226,1229,"+",2,c("g1456.t2", "g1456.t1")
"305","chr1",5453894,5459481,5588,"+",3,c("g1457.t1", "g1458.t2", "g1458.t1")
"306","chr1",5460325,5463015,2691,"+",2,c("g1459.t1", "g1460.t1")
"307","chr1",5465536,5477141,11606,"-",3,c("g1461.t1", "g1462.t1", "g1463.t1")
"308","chr1",5479391,5480721,1331,"-",2,c("g1465.t1", "g1466.t1")
"309","chr1",5486509,5488683,2175,"+",2,c("g1468.t2", "g1468.t1")
"310","chr1",5499044,5512972,13929,"+",5,c("g1471.t1", "g1472.t1", "g1473.t1", "g1474.t1", "g1475.t1")
"311","chr1",5526408,5535142,8735,"-",3,c("g1483.t1", "g1483.t2", "g1483.t3")
"312","chr1",5590432,5591453,1022,"+",2,c("g1490.t1", "g1490.t2")
"313","chr1",5614665,5617770,3106,"-",3,c("g1495.t3", "g1495.t2", "g1495.t1")
"314","chr1",5633609,5646589,12981,"-",3,c("g1499.t1", "g1500.t1", "g1500.t2")
"315","chr1",5647281,5650806,3526,"-",4,c("g1501.t1", "g1502.t3", "g1502.t1", "g1502.t2")
"316","chr1",5656846,5658341,1496,"-",2,c("g1505.t1", "g1506.t1")
"317","chr1",5679718,5697284,17567,"+",2,c("g1511.t1", "g1512.t1")
"318","chr1",5698615,5700789,2175,"-",2,c("g1513.t1", "g1514.t1")
